acceptedPaymentMethod,addressCountry,addressLocality,aggregateRating,alternateName,areaServed,availableSpotNumber,chargingStations,closingHours,contactPointEMail,contactPointTelephone,dayEnd,dayStart,description,district,facilities,familyParkingSpots,forbiddenVehicleType,fullParkingSiteId,goodwillPeriodInMinutes,googlePlaceId,handicappedParkingSpots,highestFloor,images,lat,location,location_centroid,lon,lowestFloor,maximumAllowedHeight,maximumAllowedWidth,maximumParkingDuration,name,numberOfPayingStations,observationDateTime,occupiedSpotNumber,openingHours,outOfServiceSlotNumber,parkingSiteId,parking_type,postalCode,priceModelValidFor24h,prices,provider,specialLocation,staticName,staticParkingSiteId,staticStatus,staticTotalSpotNumber,status,streetAddress,streetAddressDriveway,streetAddressExit,totalAvailableSpotNumber,totalSpotNumber,trend,website,womenParkingSpots
,,,2.0833333,Poststraße,Zentrum,517.0,,,,,,,constant,,,,,,,,,,,,"{'coordinates': [8.690463803, 49.407817923], 'type': 'Point'}","49.407817923, 8.690463803",,,180.0,240.0,,P1 Poststraße,,2023-07-10T00:04:00.000+00:00,11.0,,64.0,,,,,,,,,,,,spacesAvailable,,,,528.0,592.0,,,
,,,2.0833333,Poststraße,Zentrum,517.0,,,,,,,constant,,,,,,,,,,,,"{'coordinates': [8.690463803, 49.407817923], 'type': 'Point'}","49.407817923, 8.690463803",,,180.0,240.0,,P1 Poststraße,,2023-07-10T00:09:00.000+00:00,11.0,,64.0,,,,,,,,,,,,spacesAvailable,,,,528.0,592.0,,,
,,,2.0833333,Poststraße,Zentrum,517.0,,,,,,,constant,,,,,,,,,,,,"{'coordinates': [8.690463803, 49.407817923], 'type': 'Point'}","49.407817923, 8.690463803",,,180.0,240.0,,P1 Poststraße,,2023-07-10T00:14:00.000+00:00,11.0,,64.0,,,,,,,,,,,,spacesAvailable,,,,528.0,592.0,,,
,,,2.0833333,Poststraße,Zentrum,517.0,,,,,,,constant,,,,,,,,,,,,"{'coordinates': [8.690463803, 49.407817923], 'type': 'Point'}","49.407817923, 8.690463803",,,180.0,240.0,,P1 Poststraße,,2023-07-10T00:14:00.000+00:00,11.0,,64.0,,,,,,,,,,,,spacesAvailable,,,,528.0,592.0,,,
,,,2.0833333,Poststraße,Zentrum,517.0,,,,,,,constant,,,,,,,,,,,,"{'coordinates': [8.690463803, 49.407817923], 'type': 'Point'}","49.407817923, 8.690463803",,,180.0,240.0,,P1 Poststraße,,2023-07-10T00:19:00.000+00:00,11.0,,64.0,,,,,,,,,,,,spacesAvailable,,,,528.0,592.0,,,
,,,2.0833333,Poststraße,Zentrum,517.0,,,,,,,constant,,,,,,,,,,,,"{'coordinates': [8.690463803, 49.407817923], 'type': 'Point'}","49.407817923, 8.690463803",,,180.0,240.0,,P1 Poststraße,,2023-07-10T00:24:00.000+00:00,11.0,,64.0,,,,,,,,,,,,spacesAvailable,,,,528.0,592.0,,,
,,,2.0833333,Poststraße,Zentrum,517.0,,,,,,,constant,,,,,,,,,,,,"{'coordinates': [8.690463803, 49.407817923], 'type': 'Point'}","49.407817923, 8.690463803",,,180.0,240.0,,P1 Poststraße,,2023-07-10T00:29:00.000+00:00,11.0,,64.0,,,,,,,,,,,,spacesAvailable,,,,528.0,592.0,,,
,,,2.0833333,Poststraße,Zentrum,517.0,,,,,,,constant,,,,,,,,,,,,"{'coordinates': [8.690463803, 49.407817923], 'type': 'Point'}","49.407817923, 8.690463803",,,180.0,240.0,,P1 Poststraße,,2023-07-10T00:29:00.000+00:00,11.0,,64.0,,,,,,,,,,,,spacesAvailable,,,,528.0,592.0,,,
,,,2.0833333,Poststraße,Zentrum,517.0,,,,,,,constant,,,,,,,,,,,,"{'coordinates': [8.690463803, 49.407817923], 'type': 'Point'}","49.407817923, 8.690463803",,,180.0,240.0,,P1 Poststraße,,2023-07-10T00:34:00.000+00:00,11.0,,64.0,,,,,,,,,,,,spacesAvailable,,,,528.0,592.0,,,
,,,2.0833333,Poststraße,Zentrum,517.0,,,,,,,constant,,,,,,,,,,,,"{'coordinates': [8.690463803, 49.407817923], 'type': 'Point'}","49.407817923, 8.690463803",,,180.0,240.0,,P1 Poststraße,,2023-07-10T00:34:00.000+00:00,11.0,,64.0,,,,,,,,,,,,spacesAvailable,,,,528.0,592.0,,,
,,,2.0833333,Poststraße,Zentrum,517.0,,,,,,,constant,,,,,,,,,,,,"{'coordinates': [8.690463803, 49.407817923], 'type': 'Point'}","49.407817923, 8.690463803",,,180.0,240.0,,P1 Poststraße,,2023-07-10T00:39:00.000+00:00,11.0,,64.0,,,,,,,,,,,,spacesAvailable,,,,528.0,592.0,,,
,,,2.0833333,Poststraße,Zentrum,517.0,,,,,,,constant,,,,,,,,,,,,"{'coordinates': [8.690463803, 49.407817923], 'type': 'Point'}","49.407817923, 8.690463803",,,180.0,240.0,,P1 Poststraße,,2023-07-10T00:44:00.000+00:00,11.0,,64.0,,,,,,,,,,,,spacesAvailable,,,,528.0,592.0,,,
,,,2.0833333,Poststraße,Zentrum,517.0,,,,,,,constant,,,,,,,,,,,,"{'coordinates': [8.690463803, 49.407817923], 'type': 'Point'}","49.407817923, 8.690463803",,,180.0,240.0,,P1 Poststraße,,2023-07-10T00:44:00.000+00:00,11.0,,64.0,,,,,,,,,,,,spacesAvailable,,,,528.0,592.0,,,
